COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
1276,0,-3,-3,21,255,0
1280,0,-3,-3,21,255,0
1284,0,-3,-4,21,255,0
1288,0,-3,-4,21,255,0
1292,0,-3,-4,21,255,0
1296,0,-3,-4,21,255,0
1300,0,-3,-4,21,255,0
1304,0,1,-4,20,255,0
1308,0,0,-4,20,255,0
1312,100,0,-4,20,255,0
1316,100,0,-4,20,255,0
1320,100,0,-4,20,255,0
1324,100,5,0,19,255,0
1328,100,3,0,19,255,0
1332,100,3,0,19,255,0
1336,100,3,0,19,255,0
1340,100,3,0,19,255,0
1344,100,9,0,18,255,0
1348,100,7,0,18,255,0
1352,100,12,0,17,255,0
1356,0,11,0,17,255,0
1360,0,11,0,17,255,0
1364,0,11,0,17,255,0
1368,0,11,0,17,255,0
1372,0,11,0,17,255,0
1376,0,11,0,17,255,0
1380,0,11,0,17,255,0
1384,0,11,0,17,255,0
1388,0,11,0,17,255,0
1392,0,16,0,16,255,0
1396,0,14,0,16,255,0
1400,0,14,0,16,255,0
1404,0,14,0,16,255,0
1408,0,14,0,16,255,0
1412,0,15,0,16,255,0
1416,0,15,0,16,255,0
1420,0,15,0,16,255,0
1424,0,15,0,16,255,0
1428,0,15,0,16,255,0
1432,0,15,0,16,255,0
1436,0,15,0,16,255,0
1440,0,15,0,16,255,0
1444,0,15,1,16,255,0
1448,0,15,1,16,255,0
1452,0,9,1,17,255,0
1456,0,11,1,17,255,0
1460,0,11,1,17,255,0
1464,0,11,1,17,255,0
1468,0,11,1,17,255,0
1472,0,11,1,17,255,0
1476,0,11,1,17,255,0
1480,0,11,1,17,255,0
1484,0,11,1,17,255,0
1488,0,11,1,17,255,0
1492,0,11,2,17,255,0
1496,0,11,2,17,255,0
1500,0,11,2,17,255,0
1504,0,6,2,18,255,0
1508,0,7,2,18,255,0
1512,0,7,2,18,255,0
1516,0,7,2,18,255,0
1520,0,7,2,18,255,0
1524,0,7,2,18,255,0
1528,0,7,2,18,255,0
1532,0,2,2,19,255,0
1536,0,3,2,19,255,0
1540,0,3,2,19,255,0
1544,0,3,2,19,255,0
1548,0,3,2,19,255,0
1552,0,-1,2,20,255,0
1556,0,0,2,20,255,0
1560,100,0,2,20,255,0
1564,100,0,2,20,255,0
1568,100,0,2,20,255,0
1572,100,0,0,20,255,0
1576,100,0,0,20,255,0
1580,100,0,0,20,255,0
1584,100,-5,0,21,255,0
1588,100,-3,0,21,255,0
